source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD003754_PT3281S1F41	Homo sapiens	whole cell lysate	osteosarcoma cell line	90	PXD003754_PT3281S1F41_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F41.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F19	Homo sapiens	whole cell lysate	osteosarcoma cell line	91	PXD003754_PT3281S1F19_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F19.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1781S1F24	Homo sapiens	whole cell lysate	osteosarcoma cell line	92	PXD003754_PT1781S1F24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1781S1F24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F23	Homo sapiens	whole cell lysate	osteosarcoma cell line	93	PXD003754_PT3281S1F23_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F23.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F34	Homo sapiens	whole cell lysate	osteosarcoma cell line	94	PXD003754_PT3281S1F34_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F34.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1541S1F39	Homo sapiens	whole cell lysate	osteosarcoma cell line	95	PXD003754_PT1541S1F39_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1541S1F39.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3801SN13990	Homo sapiens	whole cell lysate	osteosarcoma cell line	96	PXD003754_PTSS3801SN13990_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3801SN13990.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14041	Homo sapiens	whole cell lysate	osteosarcoma cell line	97	PXD003754_PTSS3802SN14041_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14041.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3701S1F17	Homo sapiens	whole cell lysate	osteosarcoma cell line	98	PXD003754_PT3701S1F17_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3701S1F17.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F45	Homo sapiens	whole cell lysate	osteosarcoma cell line	99	PXD003754_PT3281S1F45_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F45.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F13	Homo sapiens	whole cell lysate	osteosarcoma cell line	100	PXD003754_PT3442S1F13_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F13.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14044	Homo sapiens	whole cell lysate	osteosarcoma cell line	101	PXD003754_PTSS3802SN14044_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14044.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F03	Homo sapiens	whole cell lysate	osteosarcoma cell line	102	PXD003754_PT3442S1F03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14012	Homo sapiens	whole cell lysate	osteosarcoma cell line	103	PXD003754_PTSS3802SN14012_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14012.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3441S1F22	Homo sapiens	whole cell lysate	osteosarcoma cell line	104	PXD003754_PT3441S1F22_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3441S1F22.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14029	Homo sapiens	whole cell lysate	osteosarcoma cell line	105	PXD003754_PTSS3802SN14029_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14029.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F03	Homo sapiens	whole cell lysate	osteosarcoma cell line	106	PXD003754_PT3281S1F03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F29	Homo sapiens	whole cell lysate	osteosarcoma cell line	107	PXD003754_PT3442S1F29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F35	Homo sapiens	whole cell lysate	osteosarcoma cell line	108	PXD003754_PT3442S1F35_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F35.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1781S1F25	Homo sapiens	whole cell lysate	osteosarcoma cell line	109	PXD003754_PT1781S1F25_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1781S1F25.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F33	Homo sapiens	whole cell lysate	osteosarcoma cell line	110	PXD003754_PT3442S1F33_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F33.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3441S1F17	Homo sapiens	whole cell lysate	osteosarcoma cell line	111	PXD003754_PT3441S1F17_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3441S1F17.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3281S1F40	Homo sapiens	whole cell lysate	osteosarcoma cell line	112	PXD003754_PT3281S1F40_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3281S1F40.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
