source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F0	Bacillus subtilis	not available	not available	mitochondria	not available	1	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_90min_1	Homo sapiens	not available	not available	mitochondria	not available	32	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_90min_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_90min_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_30min_1	Homo sapiens	not available	not available	mitochondria	not available	33	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_30min_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_30min_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F6	Bacillus subtilis	not available	not available	mitochondria	not available	1	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	6	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE36	Homo sapiens	not available	not available	mitochondria	not available	34	PXD065905_L1_20240815_JPL_DS21_NCE36_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE36.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A7	Bacillus subtilis	not available	not available	mitochondria	not available	35	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T25_S	Homo sapiens	not available	not available	mitochondria	not available	36	PXD065905_Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T25_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_6_BS_DSBSO_intraday_T25_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE1833_F	Homo sapiens	not available	not available	mitochondria	not available	37	PXD065905_L1_20240815_JPL_DS21_NCE1833_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE1833_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20220304_CW_DSBSO_FAIMS90	Bacillus subtilis	not available	not available	mitochondria	not available	38	PXD065905_L1_20220304_CW_DSBSO_FAIMS90_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20220304_CW_DSBSO_FAIMS90.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250511_CJX_DSBSO_C8_test_PC_SCX_2	Homo sapiens	not available	not available	mitochondria	not available	1	PXD065905_L1_20250511_CJX_DSBSO_C8_test_PC_SCX_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	2	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250511_CJX_DSBSO_C8_test_PC_SCX_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_1	Homo sapiens	not available	not available	mitochondria	not available	39	PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241018_CJX_DSBSO_test_Intraday_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_90min_2	Homo sapiens	not available	not available	mitochondria	not available	40	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_90min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_90min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE30	Homo sapiens	not available	not available	mitochondria	not available	41	PXD065905_L1_20240815_JPL_DS21_NCE30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_ss	Bacillus subtilis	not available	not available	mitochondria	not available	42	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_ss_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_ss.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE24	Homo sapiens	not available	not available	mitochondria	not available	43	PXD065905_L1_20240815_JPL_DS21_NCE24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A11	Bacillus subtilis	not available	not available	mitochondria	not available	44	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_A11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_2_BS_DSBSO_interday_T50_S	Homo sapiens	not available	not available	mitochondria	not available	45	PXD065905_Ex2_20240911_JPL_DS23_2_BS_DSBSO_interday_T50_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_2_BS_DSBSO_interday_T50_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_60min_1	Homo sapiens	not available	not available	mitochondria	not available	46	PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_60min_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241226_CJX_DSBSO_test_37C_60min_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F2	Bacillus subtilis	not available	not available	mitochondria	not available	2	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	2	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE27	Homo sapiens	not available	not available	mitochondria	not available	47	PXD065905_L1_20240815_JPL_DS21_NCE27_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE27.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_4_BS_DSBSO_intraday_T50_F	Homo sapiens	not available	not available	mitochondria	not available	48	PXD065905_Ex2_20240911_JPL_DS23_4_BS_DSBSO_intraday_T50_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_4_BS_DSBSO_intraday_T50_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_10_BS_DSBSO_intraday_T10_F	Homo sapiens	not available	not available	mitochondria	not available	49	PXD065905_Ex2_20240911_JPL_DS23_10_BS_DSBSO_intraday_T10_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_10_BS_DSBSO_intraday_T10_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20220304_CW_DSBSO_FAIMS70	Bacillus subtilis	not available	not available	mitochondria	not available	50	PXD065905_L1_20220304_CW_DSBSO_FAIMS70_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20220304_CW_DSBSO_FAIMS70.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F7	Bacillus subtilis	not available	not available	mitochondria	not available	1	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	7	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F8	Bacillus subtilis	not available	not available	mitochondria	not available	1	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	8	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SCX_F8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241018_CJX_DSBSO_test_PC_2	Homo sapiens	not available	not available	mitochondria	not available	51	PXD065905_Ex2_20241018_CJX_DSBSO_test_PC_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241018_CJX_DSBSO_test_PC_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_120min_2	Homo sapiens	not available	not available	mitochondria	not available	52	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_120min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_120min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B3	Bacillus subtilis	not available	not available	mitochondria	not available	53	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE18	Homo sapiens	not available	not available	mitochondria	not available	54	PXD065905_L1_20240815_JPL_DS21_NCE18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE1833_S	Homo sapiens	not available	not available	mitochondria	not available	55	PXD065905_L1_20240815_JPL_DS21_NCE1833_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE1833_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_3	Homo sapiens	not available	not available	mitochondria	not available	56	PXD065905_Ex2_20241018_CJX_DSBSO_test_Intraday_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241018_CJX_DSBSO_test_Intraday_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_1_BS_DSBSO_interday_T50_F	Homo sapiens	not available	not available	mitochondria	not available	57	PXD065905_Ex2_20240911_JPL_DS23_1_BS_DSBSO_interday_T50_F_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_1_BS_DSBSO_interday_T50_F.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_120min_2	Homo sapiens	not available	not available	mitochondria	not available	58	PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_120min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241226_CJX_DSBSO_test_37C_120min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
