source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD006131_B160627_08_Lumos_LK_IN_190_Myo-BS3_EThcD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	24	PXD006131_B160627_08_Lumos_LK_IN_190_Myo-BS3_EThcD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_08_Lumos_LK_IN_190_Myo-BS3_EThcD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_03_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	25	PXD006131_B160812_03_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_03_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_11_Lumos_LK_IN_190_Myo-BS3_CID_Rep2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	26	PXD006131_B160627_11_Lumos_LK_IN_190_Myo-BS3_CID_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_11_Lumos_LK_IN_190_Myo-BS3_CID_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160423_07_Lumos_LK_IN_190_HSA-BS3_InclListAll_S2_AGC2e5_woMIPS	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	27	PXD006131_B160423_07_Lumos_LK_IN_190_HSA-BS3_InclListAll_S2_AGC2e5_woMIPS_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160423_07_Lumos_LK_IN_190_HSA-BS3_InclListAll_S2_AGC2e5_woMIPS.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160423_08_Lumos_LK_IN_190_HSA-BS3_InclListAll_S3_AGC2e5_woMIPS	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	28	PXD006131_B160423_08_Lumos_LK_IN_190_HSA-BS3_InclListAll_S3_AGC2e5_woMIPS_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160423_08_Lumos_LK_IN_190_HSA-BS3_InclListAll_S3_AGC2e5_woMIPS.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_04_Lumos_LK_IN_190_PC_BS3_ETciD_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	29	PXD006131_B160803_04_Lumos_LK_IN_190_PC_BS3_ETciD_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_04_Lumos_LK_IN_190_PC_BS3_ETciD_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_21_Lumos_LK_IN_190_Myo-BS3_HCD_Rep3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	30	PXD006131_B160627_21_Lumos_LK_IN_190_Myo-BS3_HCD_Rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_21_Lumos_LK_IN_190_Myo-BS3_HCD_Rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_06_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	31	PXD006131_B160812_06_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_06_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_15_Lumos_LK_IN_190_PC_BS3_CID_DT_3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	32	PXD006131_B160803_15_Lumos_LK_IN_190_PC_BS3_CID_DT_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_15_Lumos_LK_IN_190_PC_BS3_CID_DT_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160423_06_Lumos_LK_IN_190_HSA-BS3_InclListAll_S1_AGC2e5_woMIPS	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	33	PXD006131_B160423_06_Lumos_LK_IN_190_HSA-BS3_InclListAll_S1_AGC2e5_woMIPS_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160423_06_Lumos_LK_IN_190_HSA-BS3_InclListAll_S1_AGC2e5_woMIPS.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_05_Lumos_LK_IN_190_PC_BS3_CID_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	34	PXD006131_B160803_05_Lumos_LK_IN_190_PC_BS3_CID_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_05_Lumos_LK_IN_190_PC_BS3_CID_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_08_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	35	PXD006131_B160812_08_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_08_Lumos_LK_IN_190_Francis_Rib_Fra_EThcD_DT_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_02_Lumos_LK_IN_190_Francis_Rib_Fra_HCD_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	36	PXD006131_B160812_02_Lumos_LK_IN_190_Francis_Rib_Fra_HCD_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_02_Lumos_LK_IN_190_Francis_Rib_Fra_HCD_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160326_14_Lumos_IN_LK_HSA-BS3_EThcd_Rep1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	37	PXD006131_B160326_14_Lumos_IN_LK_HSA-BS3_EThcd_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160326_14_Lumos_IN_LK_HSA-BS3_EThcd_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_11_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	38	PXD006131_B160812_11_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_11_Lumos_LK_IN_190_Francis_Rib_Fra_BSC_DT_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160523_13_Lumos_LK_IN_190_CK-BS3_ETD_Rep2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	39	PXD006131_B160523_13_Lumos_LK_IN_190_CK-BS3_ETD_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160523_13_Lumos_LK_IN_190_CK-BS3_ETD_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_07_Lumos_LK_IN_190_Myo-BS3_ETD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	40	PXD006131_B160627_07_Lumos_LK_IN_190_Myo-BS3_ETD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_07_Lumos_LK_IN_190_Myo-BS3_ETD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160523_08_Lumos_LK_IN_190_CK-BS3_ETD_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	41	PXD006131_B160523_08_Lumos_LK_IN_190_CK-BS3_ETD_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160523_08_Lumos_LK_IN_190_CK-BS3_ETD_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_05_Lumos_LK_IN_190_Myo-BS3_CID_Rep1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	42	PXD006131_B160627_05_Lumos_LK_IN_190_Myo-BS3_CID_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_05_Lumos_LK_IN_190_Myo-BS3_CID_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160812_15_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_3	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	43	PXD006131_B160812_15_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160812_15_Lumos_LK_IN_190_Francis_Rib_Fra_CID_DT_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160627_13_Lumos_LK_IN_190_Myo-BS3_ETD_Rep2	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	44	PXD006131_B160627_13_Lumos_LK_IN_190_Myo-BS3_ETD_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160627_13_Lumos_LK_IN_190_Myo-BS3_ETD_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160803_03_Lumos_LK_IN_190_PC_BS3_EThcD_DT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	ribosomal cellular fraction	not available	45	PXD006131_B160803_03_Lumos_LK_IN_190_PC_BS3_EThcD_DT_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160803_03_Lumos_LK_IN_190_PC_BS3_EThcD_DT_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160326_05_Lumos_IN_LK_HSA-BS3_CID35_Rep1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	46	PXD006131_B160326_05_Lumos_IN_LK_HSA-BS3_CID35_Rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160326_05_Lumos_IN_LK_HSA-BS3_CID35_Rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD006131_B160326_06_Lumos_IN_LK_HSA-BS3_CID35_Rep2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Mycoplasma pneumoniae	NT=Bos taurus;AC=NCBITaxon:9913	NT=Gallus gallus	NT=Equus caballus	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=Oryctolagus cuniculus	ribosomal cellular fraction	not available	47	PXD006131_B160326_06_Lumos_IN_LK_HSA-BS3_CID35_Rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3-NH2;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-OH;AC=null;TA=K,S,T,Y,N-term;MT=Variable	NT=BS3-loop;AC=null;TA=K,S,T,Y,N-term;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:1 (w/w)	2 h	ice	B160326_06_Lumos_IN_LK_HSA-BS3_CID35_Rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
