source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD013338_Amol_minus_S01_02	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=Homo sapiens;AC=NCBITaxon:9606	whole cell lysate	not available	49	PXD013338_Amol_minus_S01_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Amol_minus_S01_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_A_UVctrl_003	Drosophila melanogaster	not available	whole cell lysate	not available	50	PXD013338_Dmel_S2_A_UVctrl_003_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_A_UVctrl_003.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_H_FA_02	Drosophila melanogaster	not available	whole cell lysate	not available	51	PXD013338_Dmel_S2_H_FA_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_H_FA_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep2_jun2016	Homo sapiens	not available	whole cell lysate	not available	52	PXD013338_hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep2_jun2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_nonuv_radjpep_biorep3_trep2_jun2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_uv_adjpep_biorep3_trep1_jun2016	Homo sapiens	not available	whole cell lysate	not available	53	PXD013338_hs_hek_wc_dp_prodirp_uv_adjpep_biorep3_trep1_jun2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_uv_adjpep_biorep3_trep1_jun2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_H_FA_03	Drosophila melanogaster	not available	whole cell lysate	not available	54	PXD013338_Dmel_S2_H_FA_03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_H_FA_03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_1	Drosophila melanogaster	not available	whole cell lysate	not available	55	PXD013338_dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Amol_FAplus_S04_01	Drosophila melanogaster	not available	whole cell lysate	not available	56	PXD013338_Amol_FAplus_S04_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Amol_FAplus_S04_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_J_UVctrl_05	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	57	PXD013338_Dmel_S2_J_UVctrl_05_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_J_UVctrl_05.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_M_FA_02	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	58	PXD013338_Dmel_S2_M_FA_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_M_FA_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_L_FActrl_002	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	59	PXD013338_Dmel_S2_L_FActrl_002_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_L_FActrl_002.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_C_FActrl_002	Drosophila melanogaster	not available	whole cell lysate	not available	60	PXD013338_Dmel_S2_C_FActrl_002_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_C_FActrl_002.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_G_FActrl_001	Drosophila melanogaster	not available	whole cell lysate	not available	61	PXD013338_Dmel_S2_G_FActrl_001_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_G_FActrl_001.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_uv_adjpep_biorep1_trep_2	Drosophila melanogaster	not available	whole cell lysate	not available	62	PXD013338_dme_s2_wc_dp_uv_adjpep_biorep1_trep_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_uv_adjpep_biorep1_trep_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_uv_radjpep_biorep2_trep1	Drosophila melanogaster	not available	whole cell lysate	not available	63	PXD013338_dme_s2_wc_dp_uv_radjpep_biorep2_trep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_uv_radjpep_biorep2_trep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_K_UV_004	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	64	PXD013338_Dmel_S2_K_UV_004_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_K_UV_004.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep3_trep2_jun2016	Homo sapiens	not available	whole cell lysate	not available	65	PXD013338_hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep3_trep2_jun2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep3_trep2_jun2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_K_UV_003	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	66	PXD013338_Dmel_S2_K_UV_003_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_K_UV_003.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Amol_FAplus_S06_02	Drosophila melanogaster	not available	whole cell lysate	not available	67	PXD013338_Amol_FAplus_S06_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Amol_FAplus_S06_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_E_UVctrl_E_02	Drosophila melanogaster	not available	whole cell lysate	not available	68	PXD013338_Dmel_S2_E_UVctrl_E_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_E_UVctrl_E_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_L_FActrl_04	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	69	PXD013338_Dmel_S2_L_FActrl_04_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_L_FActrl_04.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
